ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
nơi ấy em có còn nhớ anh	trí moony	noi-ay-em-co-con-nho-anh-tri-moony
nỗi nhớ lại về	đan chi	noi-nho-lai-ve-duong-hoang-kim-chi
đánh mất niềm tin	mây trắng	danh-mat-niem-tin-may-trang
luôn ở phía sau em	khánh phong	luon-o-phia-sau-em-khanh-phong
vẫn mong em quay về	khánh hưng	van-mong-em-quay-ve-khanh-hung
ngày vui qua mau	đàm vĩnh hưng	ngay-vui-qua-mau-dam-vinh-hung
chia tay hạnh phúc ơi	khánh trung	chia-tay-hanh-phuc-oi-khanh-trung
đã mất hết tất cả	dương 565	da-mat-het-tat-ca-duong-565
tự tình lý qua cầu	hà phương	tu-tinh-ly-qua-cau-ha-phuong
cho anh một lần	hồ quang hiếu	cho-anh-mot-lan-ho-quang-hieu
liên khúc tình yêu	anh thúy	lien-khuc-tinh-yeu-anh-thuy
tiếng hát còn không	khánh duy	tieng-hat-con-khong-khanh-duy
nước mắt vô hình	minh tuyết	nuoc-mat-vo-hinh-minh-tuyet
quên đi ngày yêu nhau	lê uyên nhi	quen-di-ngay-yeu-nhau-le-uyen-nhi
trái tim hoàng tử	hoàng châu	trai-tim-hoang-tu-hoang-chau
liên khúc mùa xuân sang có hoa anh đào	đình phước	lien-khuc-mua-xuan-sang-co-hoa-anh-dao-dinh-phuoc
giữa tối đêm rằm	thúy cải	giua-toi-dem-ram-thuy-cai
trả nụ cười lại cho em	mun phạm	tra-nu-cuoi-lai-cho-em-mun-pham
ngày mai anh nhìn lại	nguyên hy	ngay-mai-anh-nhin-lai-nguyen-hy
xin em một lần tha thứ	đào gia minh	xin-em-mot-lan-tha-thu-dao-gia-minh
đừng theo em (vấp cục đá)	lương minh trang	dung-theo-em-vap-cuc-da-luong-minh-trang
yêu thêm mỗi ngày	thùy linh đoàn gia tuấn	yeu-them-moi-ngay-doan-gia-tuan-thuy-linh
ngọt ngào - i'm falling in love with you	đông nhi	ngot-ngao-i-m-falling-in-love-with-you-dong-nhi
chỉ còn nỗi xót xa	ty phong	chi-con-noi-xot-xa-ty-phong
trên tháng ngày đã qua	loan châu	tren-thang-ngay-da-qua-loan-chau
trời hân hoan	5 dòng kẻ	troi-han-hoan-5-dong-ke
như ngày xưa em đến	hoài lâm quốc cường	nhu-ngay-xua-em-den-quoc-cuong-hoai-lam
thì thầm gió đông	dương quốc hưng	thi-tham-gio-dong-duong-quoc-hung
người đã không còn	đinh tiến đạt (mr dee)	nguoi-da-khong-con-dinh-tien-dat-mr-dee
hoa cúc ngập tràn khắp núi	thiên an	hoa-cuc-ngap-tran-khap-nui-thien-an
âm bản	nhiều nghệ sĩ	am-ban-trungg-i-u-double-noize-cm1x-hong-jp
phép màu tình yêu	khởi my noo phước thịnh	phep-mau-tinh-yeu-khoi-my-noo-phuoc-thinh
ngôi trường dấu yêu	hoàng thiên long quách an an	ngoi-truong-dau-yeu-hoang-thien-long-quach-an-an
chỉ cần một phút thôi	chánh mạnh	chi-can-mot-phut-thoi-chanh-manh
hỡi tình yêu	ngọc hương	hoi-tinh-yeu-ngoc-huong
anh nhớ em	billy nhựt minh	anh-nho-em-billy-nhut-minh
suối tình	hà hải đăng	suoi-tinh-ha-hai-dang
thời gian sẽ trả lời	bigdaddy justatee tiên cookie	thoi-gian-se-tra-loi-tien-cookie-justatee-bigdaddy
điều ước của mưa	alina thảo lê	dieu-uoc-cua-mua-thao-le
sẹo thời gian	dương trần nghĩa	seo-thoi-gian-duong-tran-nghia
hai nửa thương đau	cao hoàng nghi	hai-nua-thuong-dau-cao-hoang-nghi
uổng phí nước mắt	nhật kim anh	uong-phi-nuoc-mat-nhat-kim-anh
đừng xa nhau	bảo thy lệ nam	dung-xa-nhau-bao-thy-le-nam
mối duyên lầm lỡ	châu gia kiệt	moi-duyen-lam-lo-chau-gia-kiet
cành hoa giấy	danh hiếu	canh-hoa-giay-danh-hieu
tôi ngồi hát cho anh chơi đàn	khoa vũ trang	toi-ngoi-hat-cho-anh-choi-dan-trang-khoa-vu
cám ơn mẹ	ron vinh	cam-on-me-ron-vinh
chia tay tuyệt tình	lâm temboys	chia-tay-tuyet-tinh-lam-temboys
cố quên càng nhớ	lâm chấn hải	co-quen-cang-nho-lam-chan-hai
phút bên nàng	quỳnh như tim	phut-ben-nang-tim-quynh-nhu
chiều bên sông buồn	huỳnh kim	chieu-ben-song-buon-huynh-kim
anh thương em nhất mà	tường quân	anh-thuong-em-nhat-ma-tuong-quan
một nữa muốn quên em	lý hào nam	mot-nua-muon-quen-em-ly-hao-nam
anh đi qua đời em	tam ca 3a	anh-di-qua-doi-em-tam-ca-3a
hát bên đời quên lãng (karaoke)	lâm hùng	hat-ben-doi-quen-lang-karaoke-lam-hung
sẽ thôi chờ mong	an nam	se-thoi-cho-mong-an-nam
yêu rồi xa rồi yêu	hồ chí hoàng	yeu-roi-xa-roi-yeu-ho-chi-hoang
đập vỡ & dựng xây (trích sách lỗi ở yêu thương)	thanh duy	dap-vo-dung-xay-trich-sach-loi-o-yeu-thuong-thanh-duy
tâm tình gửi anh lính đảo	mỹ anh	tam-tinh-gui-anh-linh-dao-my-anh
linh hồn tuyết	nhật kim anh	linh-hon-tuyet-nhat-kim-anh
ngày anh về	chế phong	ngay-anh-ve-che-phong
chuyện tình gió	wanbi tuấn anh	chuyen-tinh-gio-wanbi-tuan-anh
nơi thuộc về nỗi nhớ	lk	noi-thuoc-ve-noi-nho-lk
một đời không có em	anh tú	mot-doi-khong-co-em-anh-tu
nơi anh chờ em	bảo dũng	noi-anh-cho-em-bao-dung
yêu mãi em nhé	lê trọng hiếu	yeu-mai-em-nhe-le-trong-hieu
là yêu chưa từng yêu	nguyệt ánh	la-yeu-chua-tung-yeu-nguyet-anh
thực tế là như thế	thiên trường thiên trường địa hải vy thúy vân	thuc-te-la-nhu-the-vy-thuy-van-thien-truong-thien-truong-dia-hai
ngày hôm qua là thế	ngọc ánh idol	ngay-hom-qua-la-the-ngoc-anh-idol
chiếc nhẫn sẽ về tay ai	tâm minhon	chiec-nhan-se-ve-tay-ai-thien-tam-tam-minhon
chiều nay vắng em	vũ khanh	chieu-nay-vang-em-vu-khanh
gió buốt tim	akira phan	gio-buot-tim-akira-phan
gặp em trong muộn màng	quang minh	gap-em-trong-muon-mang-quang-minh
người tình ảo	khánh phong	nguoi-tinh-ao-khanh-phong
hắt hiu tỉnh buồn	giao linh	hat-hiu-tinh-buon-giao-linh
ở kiếp sau anh vẫn yêu em	lương nhất cường	o-kiep-sau-anh-van-yeu-em-luong-nhat-cuong
nắng và em	bob navi knk	nang-va-em-knk-bob-navi
ngẫu hứng lý ru con	đan phương	ngau-hung-ly-ru-con-dan-phuong
một người ði	phương diễm hạnh	mot-nguoi-i-phuong-diem-hanh
chiều nước lũ	đan phương	chieu-nuoc-lu-dan-phuong
cứ bên người ta	cao vũ	cu-ben-nguoi-ta-cao-vu
chẳng thể yêu anh nữa đâu	mia	chang-the-yeu-anh-nua-dau-mia
vui lòng em	hoài anh kiệt	vui-long-em-hoai-anh-kiet
trò đùa tình yêu	lưu gia bảo	tro-dua-tinh-yeu-luu-gia-bao
nụ cười còn mãi		nu-cuoi-con-mai-various-artists
em hiểu không	hồ quang ngọc	em-hieu-khong-ho-quang-ngoc
sẽ có cách đừng lo	minh châu	se-co-cach-dung-lo-minh-chau
tìm em từ những điều vô nghĩa	ngô duy khiêm	tim-em-tu-nhung-dieu-vo-nghia-ngo-duy-khiem
chấp cánh ước mơ	bb thy	chap-canh-uoc-mo-bb-thy-various-artists
chút tình mong manh	lê uyên nhi	chut-tinh-mong-manh-le-uyen-nhi
muốn khóc thật to (intro)	tăng nhật tuệ	muon-khoc-that-to-intro-tang-nhat-tue
nếu biết xa anh	lam anh	neu-biet-xa-anh-lam-anh
kiếp ngục tù	gia huy singer	kiep-nguc-tu-gia-huy-singer
em phải buông tay	yến genie	em-phai-buong-tay-yen-genie
đất nước mến thương	hoàng ngân	dat-nuoc-men-thuong-hoang-ngan
một đêm thức giấc	đan chi	mot-dem-thuc-giac-duong-hoang-kim-chi
cảm xúc yêu xa	hkt	cam-xuc-yeu-xa-hkt
trốn tránh sự thật	khang vĩnh cường	tron-tranh-su-that-khang-vinh-cuong
khúc nhạc mùa noel	nhóm mây hồng	khuc-nhac-mua-noel-nhom-may-hong
tiệc tàn tình tan	khang vĩnh cường trương mỹ ngọc	tiec-tan-tinh-tan-khang-vinh-cuong-truong-my-ngoc
noel không em	trịnh tuấn vỹ việt hùng	noel-khong-em-trinh-tuan-vy-viet-hung
thành phố mùa xuân	bảo yến	thanh-pho-mua-xuan-bao-yen
chỉ em quên	châu thanh phong	chi-em-quen-chau-thanh-phong
em không tin (you're a lie)	ngọc kayla	em-khong-tin-you-re-a-lie-ngoc-kayla
vì sao ta gặp nhau	tinna tình	vi-sao-ta-gap-nhau-tinna-tinh
tập quên một người	near trần	tap-quen-mot-nguoi-near-tran
tình đầu mong manh	lâm nhật minh	tinh-dau-mong-manh-lam-nhat-minh
tìm lại ngày hôm qua	đoàn khánh dương	tim-lai-ngay-hom-qua-doan-khanh-duong
cánh buồm xưa	duy quang	canh-buom-xua-duy-quang
thế giới không có anh	long halo touliver tóc tiên	the-gioi-khong-co-anh-toc-tien-touliver-long-halo
phố không còn ai	hoàng bảo phong	pho-khong-con-ai-hoang-bao-phong
mùa đông im lặng	lê hiếu	mua-dong-im-lang-le-hieu
biến nhớ	đức long	bien-nho-duc-long
về bên anh	asa	ve-ben-anh-asa
cầm tay anh và đi	c . a . o linh hee	cam-tay-anh-va-di-linh-hee-c-a-o
rồi sầu riêng lại trổ bông	nguyễn thị luận tô tấn loan	roi-sau-rieng-lai-tro-bong-to-tan-loan-nguyen-thi-luan
khiên ti hí	lee phú quý	khien-ti-hi-lee-phu-quy
mâm cơm chiều	đăng anh	mam-com-chieu-dang-anh
món quà kỷ niệm	mỹ huyền	mon-qua-ky-niem-my-huyen
liên khúc cho em mùa xuân	mai tuấn	lien-khuc-cho-em-mua-xuan-mai-tuan
về rồi ra đi	vũ quốc việt	ve-roi-ra-di-vu-quoc-viet
thiên đường bên em	mai fin	thien-duong-ben-em-mai-fin
hát cho người tình nhớ	thanh thanh	hat-cho-nguoi-tinh-nho-thanh-thanh
vùng trời xanh kỷ niệm	huỳnh thanh thảo lý công	vung-troi-xanh-ky-niem-huynh-thanh-thao-ly-cong
gánh nước đêm trăng	minh vương	ganh-nuoc-dem-trang-minh-vuong
ăn năn	cẩm loan nguyễn kha thi	an-nan-cam-loan-nguyen-kha-thi
điều ước nhỏ nhoi	hồ việt trung	dieu-uoc-nho-nhoi-ho-viet-trung
tình là thế	hàn thái tú	tinh-la-the-han-thai-tu
ngày hôm qua vô nghĩa	big boo libra only t silverx	ngay-hom-qua-vo-nghia-only-t-silverx-libra-big-boo
một nét ca trù ngày xuân	trần thu hà	mot-net-ca-tru-ngay-xuan-tran-thu-ha
vứt hết đi	le thao lee	vut-het-di-le-thao-lee
vấp ngã	lee7 zolek	vap-nga-lee7-zolek
thôi, ảo ảnh	nguyễn hưng ngọc anh	thoi-ao-anh-nguyen-hung-ngoc-anh
ngày em còn thắt bím	điền thái toàn	ngay-em-con-that-bim-dien-thai-toan
chuyện tình máy bay	cao sỹ hùng	chuyen-tinh-may-bay-cao-sy-hung
dấu yêu xa rồi	huy vũ	dau-yeu-xa-roi-huy-vu
ca sỹ nghèo	duy thanh	ca-sy-ngheo-duy-thanh
hãy nói yêu em	mây trắng	hay-noi-yeu-em-may-trang
cám ơn vẻ đẹp em	lê hiếu	cam-on-ve-dep-em-le-hieu
nếu em còn tồn tại	thiên dũng	neu-em-con-ton-tai-thien-dung
vọng cổ: tương tư dạ khúc	cẩm loan	vong-co-tuong-tu-da-khuc-cam-loan
biển nỗi nhớ và em	đàm vĩnh hưng	bien-noi-nho-va-em-dam-vinh-hung
hạnh phúc mới	bằng cường ý loan	hanh-phuc-moi-bang-cuong-y-loan
đêm tạ tình	như loan	dem-ta-tinh-nhu-loan
mong em luôn hạnh phúc	knk tk	mong-em-luon-hanh-phuc-knk-tk
để trả lời câu hỏi	khả tú	de-tra-loi-cau-hoi-kha-tu
cuộc sống xa nhà	acv minh vương m4u	cuoc-song-xa-nha-minh-vuong-m4u-acv
món quà sinh nhật	khánh phương	mon-qua-sinh-nhat-khanh-phuong
một ngày dễ thương	phương trinh jolie	mot-ngay-de-thuong-phuong-trinh-jolie
biển đời	lam trường	bien-doi-lam-truong
em sẽ sống	trương quỳnh anh	em-se-song-truong-quynh-anh
một năm sau	đại nhân	mot-nam-sau-dai-nhan
lỗi hẹn cùng tôn nữ	khang lê	loi-hen-cung-ton-nu-khang-le
cho người tỉnh mộng	lâm thúy vân	cho-nguoi-tinh-mong-lam-thuy-van
nghìn trùng phôi pha	ac m	nghin-trung-phoi-pha-ac-m
noel đưa baby đi chơi	chu bin	noel-dua-baby-di-choi-chu-bin
mơ về nơi có em	d v	mo-ve-noi-co-em-d-amp-v
nụ cười dưới mưa	minh thu	nu-cuoi-duoi-mua-minh-thu
quê hương ba miền	kenbi trần	que-huong-ba-mien-kenbi-tran
cha ơi con đã về	lm.jb.nguyễn sang	cha-oi-con-da-ve-lm-jb-nguyen-sang
điều anh mong ước	triệu việt quân	dieu-anh-mong-uoc-trieu-viet-quan
thôi đam mê	nguyễn đình vũ vương minh huy	thoi-dam-me-vuong-minh-huy-nguyen-dinh-vu
nhớ lắm hậu giang	giang trường	nho-lam-hau-giang-giang-truong
để anh chứng minh tình yêu	vũ khánh dương	de-anh-chung-minh-tinh-yeu-vu-khanh-duong
nghèo không phải là tội	triều hải	ngheo-khong-phai-la-toi-trieu-hai
chuyện tình thời học sinh	hoàng minh hiệp	chuyen-tinh-thoi-hoc-sinh-hoang-minh-hiep
liên khúc vùng trời bình yên & vì đó là em & phố vẫn xưa	la sương sương nhật trung	lien-khuc-vung-troi-binh-yen-vi-do-la-em-pho-van-xua-nhat-trung-la-suong-suong
hãy tỉnh giấc	wanbi tuấn anh	hay-tinh-giac-wanbi-tuan-anh
thiên thần bóng đêm	thanh thảo	thien-than-bong-dem-thanh-thao
cứ xa anh vậy đi	hoàng bảo nam richi	cu-xa-anh-vay-di-hoang-bao-nam-richi
gốc phố nơi tuyết rơi	cao quân kiệt	goc-pho-noi-tuyet-roi-cao-quan-kiet
xuân sang em xa	vũ long	xuan-sang-em-xa-vu-long
yêu nhau yêu nhau thôi	jin ju	yeu-nhau-yeu-nhau-thoi-jin-ju
sau bao năm	it's lee lil shady	sau-bao-nam-lil-shady-it-s-lee
đôi bờ tình yêu	vân quang long	doi-bo-tinh-yeu-van-quang-long
gửi lại em	huỳnh nhật đông	gui-lai-em-huynh-nhat-dong
cố quên đi một người	đan trường	co-quen-di-mot-nguoi-dan-truong
quy luật của thời gian	nguyễn đình vũ	quy-luat-cua-thoi-gian-nguyen-dinh-vu
mưa học trò	bích tuyền	mua-hoc-tro-bich-tuyen
ngoan thì cái gì cũng có	billy hoàng phong	ngoan-thi-cai-gi-cung-co-billy-hoang-phong
gặp lại em	huỳnh nhật long	gap-lai-em-huynh-nhat-long
tơ duyên	băng tâm ngọc sơn	to-duyen-ngoc-son-bang-tam
rất huế	hương lan	rat-hue-huong-lan
từ khi anh ra đi	phương ý	tu-khi-anh-ra-di-phuong-y
nụ cười ly biệt	lâm vũ	nu-cuoi-ly-biet-lam-vu
giã biệt tình anh	siu black	gia-biet-tinh-anh-siu-black
không gì quý giá hơn em lúc này	huy lê	khong-gi-quy-gia-hon-em-luc-nay-huy-le
đau xót lý con đò	hoàng ái my	dau-xot-ly-con-do-hoang-ai-my
riêng mình anh thôi	trung quân	rieng-minh-anh-thoi-trung-quan-mr-dee
khoảng cách đôi ta	châu khải phong	khoang-cach-doi-ta-chau-khai-phong
trên đồi xuân	khánh linh	tren-doi-xuan-khanh-linh
chỉ muốn yêu em	lệ quyên	chi-muon-yeu-em-le-quyen
lỗi nơi anh mà	đỗ thụy khanh	loi-noi-anh-ma-do-thuy-khanh
kim ngân	minhphucpk	kim-ngan-minhphucpk
người đàn ông hạnh phúc (acoustic)	hồng dương	nguoi-dan-ong-hanh-phuc-acoustic-hong-duong
đau nhưng thấy vui	bùi vĩnh phúc	dau-nhung-thay-vui-bui-vinh-phuc-hot-boy-keo-keo
tình là thế sao ?	lương nhật duy	tinh-la-the-sao-luong-nhat-duy
mê	duy zuno	me-duy-zuno
trả nhẩn kim cương	tài linh	tra-nhan-kim-cuong-tai-linh
ngày anh mất cả thế giới	kiều thanh sơn	ngay-anh-mat-ca-the-gioi-kieu-thanh-son
cơn lũ đi qua	bé ngọc ngân	con-lu-di-qua-be-ngoc-ngan
nước mắt cho anh	tiểu doanh	nuoc-mat-cho-anh-tieu-doanh
anh mang theo mùa xuân	văn mai hương	anh-mang-theo-mua-xuan-van-mai-huong
tạ lỗi	phạm nhật huy	ta-loi-pham-nhat-huy
về ăn cơm mẹ nấu	đào thái san	ve-an-com-me-nau-dao-thai-san
dịu dàng khi ta có nhau	the men	diu-dang-khi-ta-co-nhau-the-men
vì em chỉ có mình anh	triệu thy ân	vi-em-chi-co-minh-anh-trieu-thy-an
ngôi nhà bão dừng sau cánh cửa	trà ngọc hằng	ngoi-nha-bao-dung-sau-canh-cua-tra-ngoc-hang
nhớ em lý bông mai	khưu thúy	nho-em-ly-bong-mai-khuu-thuy
tình đẹp mùa chôm chôm	châu ngọc hà hồ quang lộc	tinh-dep-mua-chom-chom-ho-quang-loc-chau-ngoc-ha
vì sao trong đêm	hoàng tú minh	vi-sao-trong-dem-hoang-tu-minh
bắt đầu và kết thúc	knk	bat-dau-va-ket-thuc-knk
bướm hoa	mai hoa ((diễn viên))	buom-hoa-mai-hoa
một năm	vân du	mot-nam-van-du
và rồi ngày đó	hồ thu phương	va-roi-ngay-do-ho-thu-phuong
con tấm con cám	nhiều nghệ sĩ	con-tam-con-cam-minh-canh-nsut-ut-bach-lan-ba-van-he-kim-quang
thử một lần	hoài sơn	thu-mot-lan-hoai-son
tiếng khóc sinh linh	kavie trần	tieng-khoc-sinh-linh-kavie-tran
yêu thương vội vã	huỳnh mi	yeu-thuong-voi-va-huynh-mi
tình yêu không trọn vẹn	đinh ứng phi trường	tinh-yeu-khong-tron-ven-dinh-ung-phi-truong
gượng cười để hòa tan	la hoàng phúc	guong-cuoi-de-hoa-tan-la-hoang-phuc
có lẽ anh yêu em	lâm chí khanh	co-le-anh-yeu-em-lam-chi-khanh
khi ta yêu nhau	hồ ngọc hà	khi-ta-yeu-nhau-ho-ngoc-ha
tình phai theo thời gian	lưu gia bảo	tinh-phai-theo-thoi-gian-luu-gia-bao
nước mắt người thương	thái lan viên	nuoc-mat-nguoi-thuong-thai-lan-vien
cô nàng tóc rối	nami	co-nang-toc-roi-nami
nếu như anh không về	thanh thảo	neu-nhu-anh-khong-ve-thanh-thao
việt nam chiến thắng (winner)	uni5	viet-nam-chien-thang-winner-uni5
tiếng kinh cầu	y jalin	tieng-kinh-cau-y-jalin
ước mong	anh quân idol	uoc-mong-anh-quan-idol
nghĩ về em	trịnh bảo bàng	nghi-ve-em-trinh-bao-bang
mưa còn rơi mãi vì ai	diệu hương	mua-con-roi-mai-vi-ai-dieu-huong
cô người yêu ạ	t-akayz	co-nguoi-yeu-a-t-akayz
đập vỡ cây đàn	đoàn minh	dap-vo-cay-dan-doan-minh
hãy cười lên anh nhé	nguyễn hải yến	hay-cuoi-len-anh-nhe-nguyen-hai-yen
trời hà nội xanh	đức cần	troi-ha-noi-xanh-duc-can
chỉ có em	duy quang	chi-co-em-duy-quang
nỗi đau ký ức	kent huỳnh lưu thế việt	noi-dau-ky-uc-kent-huynh-luu-the-viet
nonstop đập liên hồi		nonstop-dap-lien-hoi-various-artists
bông hồng trắng	khaly nguyễn triệu phong	bong-hong-trang-trieu-phong-khaly-nguyen
ai cũng phải lớn	sĩ hùng jiki	ai-cung-phai-lon-si-hung-jiki
em chỉ có anh	duyên anh idol	em-chi-co-anh-duyen-anh-idol
nếu mai này gặp lại nhau	trương khải minh	neu-mai-nay-gap-lai-nhau-truong-khai-minh
liên khúc: trai tài gái sắc - ly rượu ngày xuân	vương minh kiệt	lien-khuc-trai-tai-gai-sac-ly-ruou-ngay-xuan-vuong-minh-kiet
mùa xuân nào ta về	như quỳnh tường khuê tường nguyên	mua-xuan-nao-ta-ve-tuong-nguyen-tuong-khue-nhu-quynh
em yêu anh (i love you)	angel phương hà	em-yeu-anh-i-love-you-angel-phuong-ha
chiếc lá cuối cùng	khánh phương	chiec-la-cuoi-cung-khanh-phuong
bản tình ca tuyết trắng	đỗ thụy khanh	ban-tinh-ca-tuyet-trang-do-thuy-khanh
tháng tư về	thanh tâm	thang-tu-ve-thanh-tam
chiều tím đồi hoa sim	thùy trang	chieu-tim-doi-hoa-sim-thuy-trang
yêu từ cái nhìn đầu tiên	khang duy	yeu-tu-cai-nhin-dau-tien-khang-duy
chưa đến nổi đâu	nsưt thành lộc	chua-den-noi-dau-thanh-loc
yêu nhau khó thế sao	việt vũ	yeu-nhau-kho-the-sao-viet-vu
người đi nhặt quá khứ	cao thái sơn	nguoi-di-nhat-qua-khu-cao-thai-son
mùa thu dưới mưa	đan trường	mua-thu-duoi-mua-dan-truong
bài ca tình yêu	artista band	bai-ca-tinh-yeu-artista-band
buốt trong tim	ngọc bảo anh	buot-trong-tim-ngoc-bao-anh
mênh mông tình làng	cát tuyền	menh-mong-tinh-lang-cat-tuyen
thương người nơi xứ lạ	đỗ tú tài	thuong-nguoi-noi-xu-la-do-tu-tai
vẽ hình người trong mơ	vân anh	ve-hinh-nguoi-trong-mo-van-anh
bắp xào ơi	lưu quang minh	bap-xao-oi-luu-quang-minh
tiễn em	tuấn hưng	tien-em-tuan-hung
đêm	ac m	dem-ac-amp-m
đơn phương một cuộc tình	quách phú thành	don-phuong-mot-cuoc-tinh-quach-phu-thanh
không muốn em cô đơn	jaym	khong-muon-em-co-don-jaym
hết yêu	băng di đại nhân	het-yeu-dai-nhan-bang-di
một thuở yêu người	đức hiếu đức vinh	mot-thuo-yeu-nguoi-duc-vinh-duc-hieu
chắc vui	tam hổ	chac-vui-tam-ho
công chúa tuyết	lương minh trang	cong-chua-tuyet-luong-minh-trang
đêm thành phố đầy sao	dương quốc hưng	dem-thanh-pho-day-sao-duong-quoc-hung
đôi mắt trẻ thơ	ánh tuyết	doi-mat-tre-tho-anh-tuyet
xuân luôn bên em	minh trang lyly tg rapper	xuan-luon-ben-em-minh-trang-lyly-tg-rapper
đợi em mãi thôi	bằng cường	doi-em-mai-thoi-bang-cuong
niềm đau phía sau hạnh phúc	lâm chấn khang	niem-dau-phia-sau-hanh-phuc-lam-chan-khang
đò qua sông nghiệp	mạnh linh	do-qua-song-nghiep-manh-linh
giọt sương và chiếc lá	bé bảo an	giot-suong-va-chiec-la-be-bao-an
rap về shichibukai	phan ann	rap-ve-shichibukai-phan-ann
chỉ có ta trong một đời	quang ngọc	chi-co-ta-trong-mot-doi-quang-ngoc
nhớ anh mấy mùa	cẩm ly đan trường	nho-anh-may-mua-dan-truong-cam-ly
lối đi về	hoàng hưng	loi-di-ve-hoang-hung
anh và em, tại ai?	hoàng thiên long quách an an	anh-va-em-tai-ai-hoang-thien-long-quach-an-an
mang nắng theo anh	gemini band quang đăng trần	mang-nang-theo-anh-gemini-band-quang-dang-tran
vui đùa	nhật hào	vui-dua-nhat-hao
từ giã em	diệu hương	tu-gia-em-dieu-huong
quá khứ về nhau	maxt bảo nam phạm kỳ anh	qua-khu-ve-nhau-maxt-bao-nam-pham-ky-anh
chuyện tình tà đùng	quân juno	chuyen-tinh-ta-dung-quan-juno
những ngày chờ đợi	khánh đơn	nhung-ngay-cho-doi-khanh-don
khóc đi em	fony trung	khoc-di-em-fony-trung
vẫn biết dối lòng	chubi trần	van-biet-doi-long-chubi-tran
phố nghèo	bảo trâm	pho-ngheo-bao-tram
mong ước đôi ta	lê sang lưu ánh loan	mong-uoc-doi-ta-le-sang-luu-anh-loan
tim nghe tan vỡ	anh tâm	tim-nghe-tan-vo-anh-tam
tình yêu và trái đắng	lâm nhật tiến	tinh-yeu-va-trai-dang-lam-nhat-tien
lãng quên một giấc mơ	huỳnh phan trọng quỳnh	lang-quen-mot-giac-mo-huynh-phan-trong-quynh
khi con sống xa nhà	phú tiến phú	khi-con-song-xa-nha-phu-tien-phu
giờ em đã biết	minh hằng	gio-em-da-biet-minh-hang
nếu đừng dang dở	thùy trang tiết duy hòa	neu-dung-dang-do-tiet-duy-hoa-thuy-trang
mãi mãi bên em	anh tú	mai-mai-ben-em-anh-tu
anh còn yêu	tuấn hưng	anh-con-yeu-tuan-hung
mất trắng	quách tuấn du	mat-trang-quach-tuan-du
